review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/style,beer/name_beer/beerId
zvikar,1323043200,11/20,5/10,2/5,3/5,Premium Lager,Herzog von Bavaria59556
radagast83,1139011200,15/20,9/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
DJMonarch,1246665600,12/20,6/10,3/5,3/5,Pilsener,Rock Bottom Braintree Rockbrau Pilsner106193
Mora2000,1285632000,12/20,6/10,3/5,3/5,Belgian Ale,Brunehaut Villages Blonde6997
hawthorne00,1305417600,14/20,7/10,4/5,3/5,Golden Ale/Blond Ale,Avonmore Estate Pale Ale95920
CaptainCougar,1052179200,15/20,8/10,4/5,5/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Rciesla,1253836800,15/20,7/10,3/5,5/5,Schwarzbier,The Duck-Rabbit Schwarzbier105762
boto,1204243200,12/20,7/10,3/5,4/5,Vienna,Big River Grille Irish Red Lager23010
VAYankee,1070668800,10/20,4/10,3/5,3/5,Brown Ale,Williamsburg Stock Ale14273
goldtwins,1174262400,14/20,7/10,3/5,4/5,American Strong Ale,Flying Bison The Herc C-13054628
Ungstrup,1260230400,9/20,5/10,3/5,3/5,Belgian Ale,Brunehaut Bio Ambre Gluten Free153575
Tranquillity,1173398400,15/20,8/10,4/5,4/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
Berley31,1258070400,18/20,9/10,4/5,5/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
skortila,1302480000,9/20,5/10,2/5,3/5,Oktoberfest/Mrzen,The Duck-Rabbit Mrzen111268
GriffinAvenue,1160265600,14/20,8/10,4/5,5/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
hopdog,1089590400,17/20,8/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Vaiz,1261612800,15/20,9/10,5/5,4/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Papsoe,1296345600,6/20,3/10,2/5,3/5,Fruit Beer,Thorbru Radler138000
SledgeJr,1180137600,15/20,6/10,3/5,3/5,India Pale Ale (IPA),Liquid Bread IPA62361
SHIG,1232582400,10/20,5/10,3/5,3/5,Spice/Herb/Vegetable,Thorbru Celtic31388
berkshirejohn,1232409600,15/20,6/10,3/5,3/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
eboats,1259971200,5/20,5/10,3/5,3/5,Premium Lager,Lucky Bucket Pre-Prohibition Lager100954
Lunkie,1298246400,1/20,7/10,4/5,4/5,Wheat Ale,Mountain Goat Skipping Girl137659
cgarvieuk,1173052800,14/20,7/10,3/5,3/5,Abbey Tripel,Chimay Triple / Blanche (White) / Cinq Cents52
j12601,1241395200,10/20,5/10,3/5,3/5,Wheat Ale,Barley Island Flat Belly Wheat (Flat Top)19689
czar,1307145600,5/20,3/10,1/5,2/5,Fruit Beer,Folie Douce8197
headheldhigh,1286755200,17/20,8/10,4/5,5/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
gallaghermurph,1142294400,17/20,8/10,4/5,5/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
JoeM500,1037491200,16/20,6/10,3/5,3/5,Golden Ale/Blond Ale,Casta Dorada7921
beernovice39,1305936000,12/20,6/10,3/5,3/5,Golden Ale/Blond Ale,Twains Heaven for Climate Golden Ale67073
IPALover,1152835200,14/20,6/10,3/5,4/5,Vienna,Belle Gueule Rousse8191
joet,1029542400,15/20,5/10,4/5,4/5,Brown Ale,Casta Morena7626
sloshgator,1323561600,10/20,3/10,3/5,3/5,Belgian Strong Ale,Chimay Bleue (Blue) / Grande Rserve53
Hooker,1152576000,12/20,5/10,3/5,3/5,Pale Lager,Dead Frog Lager19646
KimJohansen,1283385600,15/20,7/10,4/5,4/5,Doppelbock,The Duck-Rabbit Duck-Rabbator Dopplebock105689
molassesfan,1148428800,16/20,8/10,4/5,4/5,Abbey Dubbel,Chimay Rouge (Red) / Premire51
Guerde,1185667200,16/20,8/10,4/5,5/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
GregClow,1090195200,13/20,7/10,3/5,3/5,Belgian Strong Ale,RJ Brune dAchouffe15156
Blake,1070841600,14/20,8/10,4/5,4/5,Imperial Stout,Sonoran Inebriator Stout12350
TAR,1143936000,13/20,6/10,3/5,4/5,Imperial Stout,The Duck-Rabbit Rabid Duck Russian Imperial Stout54634
oldrtybastrd,1269993600,9/20,5/10,2/5,2/5,Pale Lager,Stary Melnik Zolotoe (Gold)25813
KieferUGA,1196726400,15/20,6/10,3/5,3/5,Scotch Ale,The Duck-Rabbit Wee Heavy Scotch Style Ale59173
Ughsmash,1279152000,14/20,6/10,3/5,5/5,Stout,Fire Mountain Brew House Steam Fired Stout116099
thehipone,1103932800,13/20,7/10,4/5,4/5,Irish Ale,Flying Bison Aviator Red11133
DocLock,1317945600,14/20,7/10,3/5,4/5,German Hefeweizen,Iron Hill Hoppy Weisse155832
erway,1051401600,12/20,6/10,4/5,4/5,Sweet Stout,Beaver Street R & R Oatmeal Stout14096
JoeinEscaz,1195603200,15/20,7/10,4/5,4/5,Porter,The Duck-Rabbit Porter38878
